"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Number of Comments","Opened","Priority","OS","Hardware","Votes"
366711,"Platform","Ant","pradeepb","ASSIGNED"," ---","Perform some sanity checks when looking up Ant Home","2014-08-29 10:30:20",,3,"2011-12-14 10:30:16","P3","Windows 7","PC",0
442024,"Platform","Ant","platform-ant-inbox","NEW"," ---","[Tests] 105 tests fail with NoClassDefFoundError on Linux","2014-08-19 05:36:16",,1,"2014-08-19 05:36:16","P3","Windows 7","PC",0
441749,"Platform","Ant","platform-ant-inbox","NEW"," ---","[Tests] testLinks - No hyperlink found at offset 171","2014-08-14 01:17:18",,1,"2014-08-14 01:17:18","P3","Windows 7","PC",0
439378,"Platform","Ant","platform-ant-inbox","NEW"," ---","Allow User-defined Project Path Variable to be used for External Tools","2014-07-14 01:59:47",,1,"2014-07-10 15:54:21","P3","Unix All","Other",0
437443,"Platform","Ant","platform-ant-inbox","NEW"," ---","Deadlock involving AntConsoleColorProvider","2014-06-14 09:08:29",,1,"2014-06-14 09:08:29","P3","Linux","PC",0
435176,"Platform","Ant","platform-ant-inbox","NEW"," ---","async task","2014-05-19 07:14:57",,5,"2014-05-19 05:37:25","P3","Windows 8","PC",0
434614,"Platform","Ant","sarika.sinha","ASSIGNED"," ---","Eclipse Juno Frequently hanging","2014-05-13 07:15:54",,4,"2014-05-12 03:10:19","P3","Windows 7","PC",0
433613,"Platform","Ant","platform-ant-inbox","NEW"," ---","IAE while opening editor","2014-04-28 00:31:31",,1,"2014-04-28 00:31:31","P3","Mac OS X","PC",0
330502,"Platform","Ant","platform-ant-inbox","NEW"," ---","Ant can't read ""antlib.xml"" from JAR added to Ant's runtime, if the JAR is updated while the workspace is running","2014-04-21 07:23:01",,1,"2010-11-17 13:56:57","P3","Windows XP","PC",0
369838,"Platform","Ant","platform-ant-inbox","NEW"," ---","Remove use of deprecated code in Ant bundles","2014-04-01 02:09:47",,1,"2012-01-26 12:04:39","P5","Windows 7","PC",0
184141,"Platform","Ant","platform-ant-inbox","ASSIGNED"," ---","Need an option to keep project settings with external ant build script","2014-03-31 18:03:26",,6,"2007-04-25 19:54:41","P3","All","All",0
211669,"Platform","Ant","platform-ant-inbox","REOPENED"," ---","Allow adding User Libraries and Classpath Variables in an Ant Runtime Configuration's classpath","2014-02-25 07:08:13",,6,"2007-12-01 06:09:46","P3","All","All",1
272787,"Platform","Ant","platform-ant-inbox","NEW"," ---","External Builders not independant of project name","2014-02-16 11:00:10",,3,"2009-04-18 04:15:54","P3","Linux","PC",1
281837,"Platform","Ant","platform-ant-inbox","NEW"," ---","Ant Input task causing null pointer exception","2014-01-06 23:39:07",,5,"2009-06-29 06:46:38","P3","Mac OS X","Macintosh",1
424716,"Platform","Ant","platform-ant-inbox","NEW"," ---","Input task dialog is not centered on screen (Mac OSX)","2014-01-05 11:47:12",,2,"2013-12-28 13:58:37","P3","Mac OS X","Macintosh",0
199946,"Platform","Ant","platform-ant-inbox","ASSIGNED"," ---","Error after generating Ant Build File","2013-12-17 09:37:13",,9,"2007-08-14 15:47:40","P3","Windows XP","PC",0
89938,"Platform","Ant","platform-ant-inbox","ASSIGNED"," ---","[refactoring] Some refactorings for Ant buildfiles","2013-12-17 09:25:08",,26,"2005-04-01 07:04:14","P3","Windows XP","PC",2
130595,"Platform","Ant","platform-ant-inbox","ASSIGNED"," ---","Strings with basic LTR reading order not rendered correctly in RTL locales","2013-12-17 09:15:50",,6,"2006-03-06 13:12:31","P3","Windows All","PC",0
225514,"Platform","Ant","platform-ant-inbox","ASSIGNED"," ---","[External tools configuration] Field ""Base directory"" not updated when project name was changed","2013-12-17 09:12:57",,5,"2008-04-03 05:51:58","P3","Windows XP","PC",1
335615,"Platform","Ant","platform-ant-inbox","ASSIGNED"," ---","Debug view does not update properly","2013-12-17 09:12:28",,7,"2011-01-27 15:54:07","P3","Linux","PC",0
374770,"Platform","Ant","platform-ant-inbox","ASSIGNED"," ---","Unjustified NullPointerException thrown by ProjectHelper.parse()","2013-12-17 09:11:51",,5,"2012-03-20 10:55:45","P3","Linux","PC",1
421920,"Platform","Ant","platform-ant-inbox","NEW"," ---","Build cancelled: org.eclipse.core.runtime.OperationCanceledException","2013-11-17 18:22:24",,1,"2013-11-17 18:22:24","P3","Linux","PC",0
419957,"Platform","Ant","platform-ant-inbox","NEW"," ---","Focused Ant editor tab does not display line numbers","2013-10-21 05:08:39",,1,"2013-10-21 05:08:39","P3","Mac OS X","PC",0
366356,"Platform","Ant","platform-ant-inbox","ASSIGNED"," ---","Exception while trying to launch an Ant build","2013-10-01 10:06:10",,6,"2011-12-12 02:28:46","P3","Windows 7","PC",0
225236,"Platform","Ant","platform-ant-inbox","NEW"," ---","The Ant View should have working set filters like the Package Explorer","2013-09-30 10:43:50",,2,"2008-04-01 21:19:04","P3","Windows Vista","PC",1
415121,"Platform","Ant","platform-ant-inbox","NEW"," ---","SeparateVMTests.testPropertySubstitution failed in M-build","2013-09-11 11:42:25",,4,"2013-08-15 03:24:17","P3","Linux-GTK","PC",0
412568,"Platform","Ant","platform-ant-inbox","NEW"," ---","Autogenerated Ant build script contains invalid relative paths to user libraries","2013-09-11 11:39:44",,5,"2013-07-09 04:23:58","P3","All","All",0
407848,"Platform","Ant","platform-ant-inbox","NEW"," ---","[DBCS4.3] cannot debug Ant by selecting ""2. Ant Build..."" if a project name contains DBCS characters","2013-09-11 11:38:24",,5,"2013-05-13 03:52:53","P3","Windows 7","PC",0
406916,"Platform","Ant","platform-ant-inbox","NEW"," ---","Provide a code assist template for extension-point / extending targets","2013-09-11 11:38:09",,1,"2013-04-30 11:20:11","P3","Mac OS X","PC",0
406840,"Platform","Ant","platform-ant-inbox","NEW"," ---","Mark occurrences does not work for extensionOf","2013-09-11 11:38:00",,1,"2013-04-29 15:56:40","P3","Windows 8","PC",0
406839,"Platform","Ant","platform-ant-inbox","NEW"," ---","Content assist does not work for target name use","2013-09-11 11:37:51",,3,"2013-04-29 15:51:37","P3","Windows 8","PC",0
50624,"Platform","Ant","platform-ant-inbox","ASSIGNED"," ---","Refactor InternalAntRunner etc","2013-09-11 11:36:52",,8,"2004-01-26 12:39:44","P3","Windows XP","PC",0
351937,"Platform","Ant","platform-ant-inbox","NEW"," ---","Running Ant targets fails","2013-08-29 04:36:54",,11,"2011-07-13 05:51:27","P3","Windows XP","PC",1
99038,"Platform","Ant","platform-ant-inbox","REOPENED"," ---","Project clean (with build immediately on) runs into ant concurrency issues.","2013-08-06 14:02:53",,9,"2005-06-08 15:02:25","P3","Windows XP","PC",0
406123,"Platform","Ant","platform-ant-inbox","NEW"," ---","Xml Formatting inserting new lines in tags, possibly could not read settings","2013-04-23 09:15:52",,1,"2013-04-19 15:18:36","P3","Windows 7","PC",0
399716,"Platform","Ant","platform-ant-inbox","NEW"," ---","Linked resources not resolved to local file system folder","2013-02-06 10:58:25",,8,"2013-02-01 04:27:06","P3","Windows 7","PC",0
